gre,corem,qval_BH
2,2,1.43E-163
3,2,2.70E-164
8,4,3.29E-187
27,4,5.05E-86
79,4,2.08E-16
147,4,1.20E-16
34,16,0.000670574
15,17,6.50E-105
95,17,9.59E-26
7,17,9.96E-122
89,19,2.89E-14
16,19,3.12E-13
41,19,5.81E-09
61,19,3.15E-09
24,21,1.66E-05
25,21,1.60E-139
4,22,0.004799567
60,22,0.000688784
95,22,0.004235677
21,22,0.006974582
38,22,0.002663057
39,22,1.00E-87
82,22,0.004799567
101,22,3.20E-28
126,22,9.75E-30
1,24,1.25E-58
5,24,0.000255917
16,26,0.003439773
8,28,2.93E-14
27,28,4.77E-06
15,28,4.77E-06
131,30,1.62E-09
148,31,0.000783088
1,32,1.84E-09
18,32,6.75E-168
16,34,2.42E-70
24,34,1.41E-07
60,34,0.007062007
61,34,4.10E-07
93,34,0.002934414
41,34,6.32E-18
12,36,2.08E-05
34,36,1.35E-87
91,36,6.05E-09
28,36,3.85E-71
144,39,0.00656154
10,40,9.25E-14
24,41,2.87E-05
21,41,0.000357274
67,41,1.86E-11
129,41,0.008920666
70,41,0.000241046
8,45,3.28E-08
27,45,0.000103414
37,45,3.22E-90
5,46,0
162,46,1.06E-14
85,50,0.009731976
14,51,0.003518383
61,51,4.72E-13
90,51,0.002772855
16,51,2.52E-16
41,51,6.70E-15
1,53,5.01E-25
97,53,0.008074387
80,58,0.008729092
94,58,0.007831464
139,60,3.92E-16
6,61,0.000133037
12,61,1.27E-169
14,61,2.66E-111
5,61,0.000886573
13,61,8.37E-76
140,61,1.00E-11
124,61,2.01E-15
34,61,1.78E-05
28,61,1.50E-06
6,62,0
44,62,4.50E-51
46,62,4.17E-39
12,62,0.000923493
112,62,3.49E-17
91,62,0.005525476
28,62,1.23E-06
21,63,0.001194772
1,63,0.006644388
60,63,0.00321849
24,63,0.009768759
118,63,0.000346485
4,64,3.53E-65
38,64,1.14E-07
39,64,0.002116855
62,64,0.008336141
51,64,3.92E-05
1,65,0
5,65,0.000510452
102,65,1.04E-23
162,65,8.24E-06
18,65,5.55E-05
19,66,2.98E-109
22,66,2.98E-141
42,66,1.85E-60
50,66,1.82E-44
75,66,2.14E-26
47,66,8.18E-49
80,66,9.75E-31
17,67,8.22E-91
139,67,0.002195393
109,67,4.39E-11
141,67,1.93E-09
1,68,2.85E-08
10,68,2.20E-15
97,68,0.004971167
156,69,4.36E-16
73,69,4.36E-16
17,70,6.22E-16
95,70,2.80E-05
15,70,3.01E-07
7,70,2.59E-16
11,71,8.79E-70
64,71,1.72E-06
53,71,6.99E-17
59,71,6.94E-27
156,71,0.000197396
9,72,7.58E-121
49,73,0.003153507
13,73,0.00038047
1,74,3.27E-08
34,74,0.00531382
25,74,7.99E-21
28,74,0.000513609
24,74,0.007018975
10,74,2.54E-10
2,76,0
3,76,0
161,76,1.12E-06
10,78,4.68E-144
6,80,1.96E-06
12,80,0.006246357
34,80,4.06E-80
91,80,4.61E-08
28,80,2.29E-67
51,80,3.33E-05
24,81,1.11E-10
25,81,1.05E-172
118,81,4.03E-31
21,81,0.00707334
74,81,3.76E-14
132,81,4.56E-08
14,82,0.000365526
6,82,2.79E-64
10,82,0.000197851
34,82,0.003536052
89,83,4.10E-05
12,87,0.002706665
1,88,2.30E-11
74,88,4.75E-05
69,88,0.001827932
79,89,0.002265901
10,89,1.08E-86
16,90,7.37E-93
28,90,0.000600085
34,90,0.006887767
41,90,1.89E-25
61,90,1.56E-08
10,91,1.25E-36
9,92,1.56E-06
89,93,3.44E-05
8,97,1.12E-05
