GRE	motif e-value	number of cis-regulatory sequences in GRE cluster		# of sequences for re-MEMEd logo
1	2.1E-118	2534		28
2	0	2015		32
3	3.90E-192	1383		32
4	8.90E-33	1302		34
5	1.50E-126	946		14
6	1.20E-55	740		24
7	3.20E-39	672		7
8	9.80E-19	517		10
9	3.70E+01	475		21
10	1.40E-16	471		7
11	4.20E-06	463		25
12	4.70E-41	462		31
13	1.70E-40	412		20
14	1.80E-22	405		18
15	9.20E-48	403		6
16	9.20E-16	371		6
17	3.50E-84	331		14
18	1.40E+03	312		9
19	1.60E-21	255		30
20	3.30E-07	247		9
21	8.70E-05	243		13
22	1.60E-116	238		53
23	5.80E-11	231		24
24	2.00E+01	222		11
25	3.10E-01	219		12
26	9.60E-06	210		16
27	1.50E-22	203		9
28	2.20E-11	180		5
29	2.40E-12	179		4
30	2.40E-11	170		8
31	4.50E-20	165		25
32	1.90E-31	163		14
33	5.30E-10	161		17
34	2.80E-07	148		6
35	3.40E-04	148		17
36	5.20E-36	147		8
37	5.60E-11	145		15
38	1.30E+01	144		23
39	6.70E-08	139		7
40	4.80E-48	136		11
41	2.60E-04	132		8
42	1.50E-86	129		41
43	1.00E-28	126		14
44	5.60E-28	119		20
45	5.80E-06	111		6
46	8.50E-20	109		9
47	1.30E+01	102		19
48	1.30E+00	101		37
49	1.00E-12	99		10
50	1.10E-07	95		50
51	5.00E-05	95		17
52	2.90E-01	92		15
53				
54	6.40E-05	89		48
55				
56	1.10E+00	87		8
57	9.40E-09	84		41
58	9.00E-04	84		13
59				
60				
61				
62				
63	0.0019	73		8
64	2.8	73		44
65	1.20E-19	71		11
66	5.40E-14	70		14
67	21000	70		25
68	0.012	69		16
69				
70	1.50E-39	68		20
71	36	67		20
72	8.8	67		6
73	1.10E-16	66		19
74	260000	65		14
75	6.70E-53	63		46
76	1.10E-10	62		24
77	1.80E-04	61		11
78	3.10E-14	60		9
79	2.80E-15	59		16
80	5.30E-11	58		18
81	1.30E-05	59		5
82	2.00E-08	58		6
83	1.80E-16	58		25
84	1.10E-10	57		15
85	3.40E-72	56		12
86	1.30E-19	55		10
87	8.10E+02	53		27
88	1.10E+03	52		23
89	2.00E-17	52		16
90	7.40E-17	52		9
91	1.40E-07	51		6
92	3.40E-15	51		5
93	2.50E-28	51		12
94	7.50E-84	50		10
95	1.30E-47	50		8
96	3.40E-11	50		25
97	2.20E-03	49		6
98	2.80E+00	49		8
99	2.90E-10	98		49
100	7.80E-31	49		13
101	2.70E-07	48		6
102	5.50E-03	48		11
103	1.30E-07	47		5
104	5.00E-09	47		22
105	6.20E+04	47		19
106	2.60E-02	46		13
107	1.60E-08	46		5
108	2.90E-01	46		13
109	7.20E-36	46		8
110	1.50E-23	45		31
111	1.50E+01	45		29
112	4.80E+00	44		16
113	6.00E-02	44		10
114	2.10E-08	44		11
115	8.20E-02	43		10
116	2.90E-10	43		10
117	2.00E-06	42		9
118				
119	4.50E-32	41		10
120	3.50E-04	41		17
121	1.40E-13	40		9
122	3.70E-31	40		13
123	2.30E+01	40		4
124				
125	7.00E-12	39		5
126	1.40E-15	38		6
127	3.00E-06	38		5
128	4.90E-08	38		6
129	3.00E-09	38		4
130				
131	2.60E-37	38		10
132	4.30E-05	37		13
133	2.20E-06	37		5
134				
135	4.50E-09	36		6
136	1.50E-03	36		11
137	2.30E-28	36		9
138	2.90E+04	36		19
139	2.20E+00	36		3
140	1.00E+01	36		11
141	3.60E-18	36		9
142	2.50E-19	35		6
143	3.20E-05	35		14
144	9.50E-35	35		30
145	2.40E-09	35		10
146	1.10E-33	34		7
147	1.20E-34	34		5
148	9.30E-29	34		15
149	5.30E-25	34		10
150	3.30E+04	33		9
151	3.40E+00	33		7
152	1.40E+00	32		7
153	2.40E-13	32		4
154	3.10E-09	32		5
155	4.70E-09	31		4
156	2.20E-01	31		8
157	4.50E-08	30		5
158	1.80E+01	30		7
159	1.50E-06	30		7
160	2.20E-14	30		7
161	3.90E-94	30		14
162	1.40E-40	30		9
163	1.70E+00	30		2
