,level_0,Unnamed: 0,index,EGRIN2.block,conds
0,0,0,0,fatty acids - carbon source,AA_30uM_10.min_04 AA_30uM_10.min_05 AA_30uM_10m_01 AA_30uM_10min_02 AA_30uM_10min_03 AA_30uM_1h_01 AA_30uM_1h_02 AA_30uM_1h_03 AA_30uM_1h_04 AA_30uM_1h_05 AA_30uM_1h_06 AA_30uM_1h_07 AA_30uM_1h_08 AA_30uM_24h_03 AA_30uM_2h_01 AA_30uM_2h_02 AA_30uM_2h_03 AA_30uM_2h_05 AA_30uM_2h_06 AA_30uM_2h_08 AA_30uM_30min_01 AA_30uM_30min_02 AA_30uM_30min_03 AA_30uM_30min_04 AA_30uM_30min_05 AA_30uM_30min_06 AA_30uM_30min_07 AA_30uM_30min_08 AA_30uM_30min_09 AA_30uM_4h_04 AA_30uM_4h_05 AA_30uM_4h_08 AA_30uM_4h_09 L2A_30uM_10min_01 L2A_30uM_10min_02 L2A_30uM_10min_03 L2A_30uM_10min_06 L2A_30uM_10min_08 L2A_30uM_1h_01 L2A_30uM_1h_05 L2A_30uM_2h_01 L2A_30uM_2h_02 L2A_30uM_2h_03 L2A_30uM_2h_04 L2A_30uM_30min_01 L2A_30uM_30min_03 L2A_30uM_30min_04 L2A_30uM_30min_05 L2A_30uM_30Min_06 L2A_30uM_30min_07 L2A_30uM_4h_03 L2A_30uM_4h_04 L2A_30uM_4h_05 L2A_30uM_4h_06 L2A_30uM_4h_08 OA_50uM_10min_01 OA_50uM_10min_02 OA_50uM_10min_04 OA_50uM_10min_07 OA_50uM_10min_08 OA_50uM_1h_02 OA_50uM_1h_03 OA_50uM_1h_04 OA_50uM_1h_06 OA_50uM_1h_08 OA_50uM_1h_09 OA_50uM_1h_10 OA_50uM_24h_05 OA_50uM_2h_04 OA_50uM_2h_05 OA_50uM_2h_06 OA_50uM_2h_07 OA_50uM_2h_08 OA_50uM_2h_10 OA_50uM_30min_01 OA_50uM_30min_02 OA_50uM_30min_03 OA_50uM_30min_06 OA_50uM_30min_07 OA_50uM_30min_08 OA_50uM_4h_04 OA_50uM_4h_06 OA_50uM_4h_07 PA_100uM_2h_03 PA_50uM_10min_01 PA_50uM_10min_05 PA_50uM_10min_08 PA_50uM_10min_09 PA_50uM_10min_10 PA_50uM_12h_01 PA_50uM_12h_02 PA_50uM_1h_01 PA_50uM_1h_02 PA_50uM_1h_03 PA_50uM_1h_04 PA_50uM_1h_05 PA_50uM_1h_06 PA_50uM_1h_07 PA_50uM_1h_08 PA_50uM_1h_09 PA_50uM_1h_11 PA_50uM_1h_12 PA_50uM_24h_04 PA_50uM_24h_07 PA_50uM_2h_01 PA_50uM_2h_03 PA_50uM_2h_04 PA_50uM_2h_05 PA_50uM_2h_07 PA_50uM_30.min_05 PA_50uM_30.min_06 PA_50uM_30.min_07 PA_50uM_30min_02 PA_50uM_30min_03 PA_50uM_30min_08 PA_50uM_30min_09 PA_50uM_30min_10 PA_50uM_30min_11 PA_50uM_4h_01 PA_50uM_4h_02 PA_50uM_4h_03 PA_50uM_8h_01 PA_50uM_8h_03
1,1,1,1,lipids - carbon source,H37Rv.control.vs.1mg.ml.cholesterol.for.24.hrs.rep.1 H37Rv.control.vs.1mg.ml.cholesterol.for.24.hrs.rep.2 H37Rv.control.vs.1mg.ml.cholesterol.for.3.hrs.rep.1 H37Rv.control.vs.1mg.ml.cholesterol.for.3.hrs.rep.2 H37Rv.control.vs.1mg.ml.cholesterol.for.3.hrs.rep.3
2,2,2,2,DNA damage - antitubercular drugs,Mtm.0.2ug.mL.vs.ctrl.12h.1.y Mtm.0.2ug.mL.vs.ctrl.8h.1.x Mtm.0.2ug.mL.vs.ctrl.8h.1.y Mtm.0.2ug.mL.vs.ctrl.8h.2.x Mtm.0.2ug.mL.vs.ctrl.8h.2.y X0.1ug.mL.Mtmvsctrl..0.75h..x X0.2ug.mL.Mtm.ctrl..4h...2.x X0.2ug.mL.Mtmvsctrl..0.75h..x X0.2ug.mL.Mtmvsctrl..1.5h..x X0.2ug.mL.Mtmvsctrl..2h..x X0.2ug.mL.Mtmvsctrl..2h.A.x X0.2ug.mL.Mtmvsctrl..2h.B.x X0.2ug.mL.Mtmvsctrl..4h.A.x X0.2ug.mL.Mtmvsctrl..4h.B.x X0.2ug.mL.Mtmvsctrl..6h..x X10ug.mL.LevovsEtOH..6h X10ug.mL.Nvb.DMSO..6h..1 X10ug.mL.Nvb.DMSO..6h..3 X5ug.mL.OfloxvsEtOH..6h X5ug.mL.OfloxvsEtOH..6hA X0.1ug.mL.Mtmvsctrl..0.75h..y X0.1ug.mL.Mtmvsctrl..1.5h..y X0.2ug.mL.Mtm.ctrl..4h...1.y X0.2ug.mL.Mtm.ctrl..4h...2.y X0.2ug.mL.Mtmvsctrl..0.75h..y X0.2ug.mL.Mtmvsctrl..1.5h..y X0.2ug.mL.Mtmvsctrl..2h..y X0.2ug.mL.Mtmvsctrl..2h.A.y X0.2ug.mL.Mtmvsctrl..2h.B.y X0.2ug.mL.Mtmvsctrl..2h.C.y X0.2ug.mL.Mtmvsctrl..4h..y X0.2ug.mL.Mtmvsctrl..4h.A.y X0.2ug.mL.Mtmvsctrl..4h.B.y X0.2ug.mL.Mtmvsctrl..6h..y
3,3,3,5,others - antitubercular drugs,X0.2ug.ml.PA.824.vs.DMSO.6hrs.rep.1 X0.2ug.mL.PA824.DMSO..6h..1 X10ug.mL.methoxatinvsDMSO..6h.A X10ug.mL.PA.1vsDMSO..6h X10ug.mL.PA.1vsDMSO..6hA X10ug.mL.PA.21vsDMSO..6h X10ug.mL.PA.21vsDMSO..6hA X10ug.mLMethoxatinvsDMSO.6h X12.5ug.mL.AntimycinvsDMSO..6h X20ug.mL.methoxatinvsDMSO..6h X20ug.mL.Prcp.6776.DMSO..6h..1 X20ug.mL.Prcp.6778.DMSO..6h..1 X20ug.mL.Prcp.6778.DMSO..6h..2 X20ug.mL.Procept.6776vsDMSO..6h X20ug.mL.Procept6776vsDMSO..6h X20ug.mLProcept6778vsDMSO.6h X20ug.mLProcept6778vsDMSO.6hA X20ug.mLProcept6778vsDMSO.6hB X2mM.DTNBvsDMSO X2mMb.mercaptoethanolvsDMSO.6h X2ug.ml.PA.824.vs.DMSO.6hrs.rep.1.x X2ug.mL.PA824.DMSO..6h..1 X2ug.mL.PA824.DMSO..6h..2 X30ug.mLProcept6776vsDMSO.6h X30ug.mLProcept6776vsDMSO.6hA X40ug.mLProcept6778vsDMSO.6h X40ug.mLProcept6778vsDMSO.6hA X50ug.mL.PA.1vsDMSO..6h X50ug.mL.PA.21vsDMSO..6h X50ug.mL.PA.21vsDMSO..6hA X50ug.mL.VerapamilvsDMSO..6h X50ug.mLAntimycinAvsDMSO..6h X50ug.mLAntimycinAvsDMSO..6hA X5ug.mLProcept.6778vsDMSO.6h X5ug.mLProcept.6778vsDMSO.6hA MTB.at.T0..biological.rep1 MTB.at.T0..biological.rep2 MTB.at.T0..biological.rep3 MTB.at.T0..biological.rep4 MTB.at.T180..biological.rep1 MTB.at.T180..biological.rep2 MTB.at.T180..biological.rep3 MTB.at.T180..biological.rep4 MTB.at.T30..biological.rep1 MTB.at.T30..biological.rep2 MTB.at.T30..biological.rep3 MTB.at.T360..biological.rep1 MTB.at.T360..biological.rep2 MTB.at.T360..biological.rep3 MTB.at.T360..biological.rep4 MTB.at.T60..biological.rep1 MTB.at.T60..biological.rep2 X0.4ug.ml.PA.824.vs.DMSO.6hrs.rep.1 X0.4ug.ml.PA.824.vs.DMSO.6hrs.rep.2.x X0.4ug.ml.PA.824.vs.DMSO.6hrs.rep.2.y X0.4ug.ml.PA.824.vs.DMSO.6hrs.rep.3 X0.4ug.ml.PA.824.vs.DMSO.6hrs.rep.4 X0.4ug.mL.PA824.DMSO..6h..1 X0.4ug.mL.PA824.DMSO..6h..2 X0.4ug.mL.PA824.DMSO..6h..3 X0.4ug.mL.PA824.DMSO..6h..4 X2ug.ml.PA.824.vs.DMSO.6hrs.rep.1.y X2ug.ml.PA.824.vs.DMSO.6hrs.rep.2
4,4,4,6,respiration inhibitors - antitubercular drugs,X0.1mMGSNO.10ug.mLmdvsDMSO.6h X0.1mMGSNO.20ug.mLCPZvsDMSO.6h X0.1mMGSNO.5ug.mLKCNvsDMSO.6h X0.1mMGSNO.5ug.mLKCNvsDMSO.6h.A X0.5mM.DNP.DMSO..6h X0.5uMValinomycin.70mMKClvsDMSO.6h X0.5uMValinomycinvsDMSO.6h X100uM.DCCD.DMSO..6h X10ug.mL.ChlorprovsEtOH..6h X10ug.mL.clofazimine.DMSO..6h X10ug.mL.clotrimvsEtOH..6h X10ug.mL.ClotrimvsEtOH..6hA X10ug.mL.EconazolevsEtOH..6h X10ug.mL.menadionevsDMSO..6h X10ug.mL.TRZ.DMSO..6h..1 X10ug.mL.TRZ.DMSO..6h..2 X10ug.mLchlorpromazinevsctrl.6h X10ug.mLchlorpromazinevsctrl.6hA X10ug.mLmdn.0.1mMGSNO.DMSO..2 X10uM.CCCP.DMSO..6h X10uM.ValinomycinvsDMSO..6h X13ug.mL.clfzine.DMSO..6h..1 X13ug.mL.clfzine.DMSO..6h..2 X1mM.DNP.DMSO..6h..1 X1mM.DNP.DMSO..6h..2 X1uM.ValinomycinvsDMSO..6h X1uM.ValinomycinvsDMSO..6h.B X20ug.mL.chlorprmz.DMSO..6h..1 X20ug.mL.chlorprmz.DMSO..6h..2 X20ug.mL.CPZvsDMSO..6h X20ug.mL.CPZvsDMSO..6h.A X20ug.mL.KCN.DMSO..6h X20uM.DCCD.DMSO..6h..1 X20uM.DCCD.DMSO..6h..2 X24ug.mL.cltrmazole.DMS..6h..1 X24ug.mL.cltrmazole.DMS..6h..2 X24ug.mL.cltrmazole.DMS..6h..3 X24ug.mL.Econazole.DMSO..6h..1 X24ug.mL.Econazole.DMSO..6h..2 X25ug.mL.CPZvsDMSO..6h.A X25ug.mL.CPZvsDMSO..6h.B X25ug.mL.TRZ.DMSO..6h X25ug.mLCPZ.0.1mMGSNO.DMSO..1 X25ug.mLCPZ.0.1mMGSNO.DMSO..2 X25ug.mLCPZ.0.1mMGSNO.DMSO..3 X25ug.mLCPZ.0.1mMGSNOvsDMSO.A X2mM.DTTvsDMSO..6h X2mM.DTTvsDMSO..6h.A X2mM.ZnSO4.DMSO..6h X50ug.mL.Thioridazine.DMSO..6h X50uM.CCCP.DMSO..6h..1 X50uM.CCCP.DMSO..6h..2 X5ug.mL.CFZ.0.1mM.GSNO.DMSO..1 X5ug.mL.CFZ.0.1mM.GSNO.DMSO..2 X5ug.mL.KCN.DMSO..6h..1 X5ug.mL.KCN.DMSO..6h..2 X6ug.mL.MenadionevsDMSO..6h CDC1551.ctrl.vs.10.ug.ml.Thioridazine.1hr.rep.1 CDC1551.ctrl.vs.10.ug.ml.Thioridazine.2hr.rep.2 CDC1551.ctrl.vs.10.ug.ml.Thioridazine.6hr.rep.1 CDC1551.ctrl.vs.10.ug.ml.Thioridazine.6hr.rep.2 CDC1551.ctrl.vs.40.ug.ml.Thioridazine.1hr.rep.2 CDC1551.ctrl.vs.40.ug.ml.Thioridazine.2hr.rep.1 CDC1551.ctrl.vs.40.ug.ml.Thioridazine.2hr.rep.2 CDC1551.ctrl.vs.40.ug.ml.Thioridazine.4hr.rep.2 CDC1551.ctrl.vs.40.ug.ml.Thioridazine.6hr.rep.2 MTB.strain.1254.Ctrl.vs.0.5.mM.KCN.1hr.rep.1 MTB.strain.1254.Ctrl.vs.0.5.mM.KCN.1hr.rep.3 X20ug.ml.KCN.vs.DMSO.6hrs.y
5,5,5,7,low pH,Mtb.response.to.pH.6.5..6.replicates. pH4.8vspH6.8..11h. pH4.8vspH6.8..2h. pH4.8vspH6.8..2h.A pH4.8vspH6.8..2h.B pH4.8vspH6.8..4h. pH4.8vspH6.8..4h.A pH4.8vspH6.8..4h.B pH4.8vspH6.8..4h.C pH4.8vspH6.8..5.5h. pH4.8vspH6.8..5h. pH4.8vspH6.8..6h. pH4.8vspH6.8..7h. pH5.2vspH6.8..10.5h. pH5.2vspH6.8..11h. pH5.2vspH6.8..16h. pH5.2vspH6.8..2h. pH5.2vspH6.8..5.5h. pH5.6vspH6.8..11h. pH5.6vspH6.8..2h. pH5.6vspH6.8..2h.A pH5.6vspH6.8..4h. pH5.6vspH6.8..4h.B
6,6,6,8,carboxylic acids - carbon source,Succinate.7H9.based.medium..1 Succinate.7H9.based.medium..2
7,7,7,9,aromatic amides - antitubercular drugs,X0.12mg.mL.BZA.pH5.6..2h. X0.12mg.mL.BZA.pH5.6..4h..1 X0.12mg.mL.BZA.pH5.6..4h..2 X0.12mg.mL.BZAvspH5.6..11h. X0.12mg.mL.BZAvspH5.6..5h. X0.12mg.mL.BZAvspH5.6..7h. X0.12mg.mL.Nam.pH5.6..2h..1 X0.12mg.mL.Nam.pH5.6..2h..2 X0.12mg.mL.Nam.pH5.6..4h..2 X0.12mg.mL.NamvspH5.6..4h. X0.12mg.mL.NamvspH5.6..5.5h. X0.12mg.mL.NamvspH5.6..7h. X0.12mg.mL.PZA.pH5.6..2.5h. X0.12mg.mL.PZA.pH5.6..2h. X0.12mg.mL.PZA.pH5.6..5h. X0.12mg.mL.PZAvspH5.6..10.5h. X0.12mg.mL.PZAvspH5.6..11h. X0.12mg.mL.PZAvspH5.6..4h. X0.12mg.mL.PZAvspH5.6..4h.A X0.12mg.mL.PZAvspH5.6..6h. X0.12mg.mL.PZAvspH5.6..6h.A X1.2mg.mL.NamvspH5.6..10.5h. X1.2mg.mL.NamvspH5.6..5h. X1.2mg.mL.PZA.pH5.6..2h.. X1.2mg.mL.PZA.pH5.6..5h. X1.2mg.mL.PZAvspH5.6..16h. X1.2mg.mL.PZAvspH5.6..4h. X1.2mg.mL.PZAvspH5.6..4h.A X1.2mg.mL.PZAvspH5.6..6h. X1.2mg.mL.PZAvspH5.6..6h.A X1.2mg.mL.PZAvspH5.6..7h. X40ug.mL.5CL.pH5.6..2h..1 X40ug.mL.5CL.pH5.6..2h..2 X40ug.mL.5CL.pH5.6..4h..1 X40ug.mL.5CL.pH5.6..4h..2 X40ug.mL.5CL.pH5.6..4h..3 X80ug.mL.5CL.pH5.6..2h.
8,8,8,10,osmotic stress,WT_140mM_NaCl_Rep1 WT_140mM_NaCl_Rep2 WT_140mM_NaCl_Rep3 WT_140mM_NaCl_Rep4
9,9,9,13,reaeration,H37Rv.reaeration.for.12hrs.rep.1 H37Rv.reaeration.for.12hrs.rep.2 H37Rv.reaeration.for.12hrs.rep.3 H37Rv.reaeration.for.12hrs.rep.4 H37Rv.reaeration.for.12hrs.rep.5 H37Rv.reaeration.for.12hrs.rep.6 H37Rv.reaeration.for.1hrs.rep.1 H37Rv.reaeration.for.1hrs.rep.2 H37Rv.reaeration.for.1hrs.rep.3 H37Rv.reaeration.for.1hrs.rep.4 H37Rv.reaeration.for.1hrs.rep.5 H37Rv.reaeration.for.1hrs.rep.6 H37Rv.reaeration.for.1hrs.rep.8 H37Rv.reaeration.for.24hrs.rep.1 H37Rv.reaeration.for.24hrs.rep.2 H37Rv.reaeration.for.24hrs.rep.3 H37Rv.reaeration.for.24hrs.rep.4 H37Rv.reaeration.for.24hrs.rep.5 H37Rv.reaeration.for.24hrs.rep.6 H37Rv.reaeration.for.4hrs.rep.1 H37Rv.reaeration.for.4hrs.rep.2 H37Rv.reaeration.for.4hrs.rep.3 H37Rv.reaeration.for.4hrs.rep.4 H37Rv.reaeration.for.4hrs.rep.5 H37Rv.reaeration.for.4hrs.rep.6 H37Rv.reaeration.for.4hrs.rep.7 H37Rv.reaeration.for.4hrs.rep.8 H37Rv.reaeration.for.6hrs.rep.1 H37Rv.reaeration.for.6hrs.rep.2 H37Rv.reaeration.for.6hrs.rep.3 H37Rv.reaeration.for.6hrs.rep.4 H37Rv.reaeration.for.6hrs.rep.5 MTB.strain.1254.Ctrl.vs.high.aeration.rep1
