genome.position,type,gene,start,end,Operon.ID,strand
4411177,Primary.TSS,Rv0001,4411027,4411247,1,+
1935,Primary.TSS,Rv0002,1785,2005,2,+
3034,Primary.TSS,Rv0003,2884,3104,2,+
4434,CDS,Rv0004,4284,4504,2,+
5181,Primary.TSS,Rv0005,5031,5251,3,+
7302,CDS,Rv0006,7152,7372,3,+
9914,CDS,Rv0007,9764,9984,4,+
12311,CDS,Rv0008c,12241,12461,5,-
12468,CDS,Rv0009,12334,12554,6,+
13558,CDS,Rv0010c,13488,13708,7,-
14085,Primary.TSS,Rv0011c,14015,14235,8,-
14067,Primary.TSS,Rv0012,13917,14137,9,+
14914,Primary.TSS,Rv0013,14764,14984,9,+
17470,CDS,Rv0014c,17400,17620,10,-
19032,Primary.TSS,Rv0015c,18962,19182,10,-
20234,CDS,Rv0016c,20164,20384,10,-
21640,CDS,Rv0017c,21570,21790,10,-
23370,Primary.TSS,Rv0018c,23300,23520,10,-
24125,Primary.TSS,Rv0019c,24055,24275,11,-
25515,Primary.TSS,Rv0020c,25445,25665,12,-
26881,CDS,Rv0021c,26811,27031,13,-
27442,CDS,Rv0022c,27372,27592,14,-
27595,CDS,Rv0023,27445,27665,15,+
28362,CDS,Rv0024,28212,28432,15,+
29245,Primary.TSS,Rv0025,29095,29315,15,+
29632,Primary.TSS,Rv0026,29482,29702,16,+
31189,CDS,Rv0027,31039,31259,17,+
31514,CDS,Rv0028,31364,31584,17,+
32057,Primary.TSS,Rv0029,31907,32127,18,+
33227,Primary.TSS,Rv0030,33077,33297,19,+
33582,CDS,Rv0031,33432,33652,19,+
33940,Primary.TSS,Rv0032,33790,34010,20,+
36607,CDS,Rv0033,36457,36677,20,+
36867,CDS,Rv0034,36717,36937,20,+
37259,CDS,Rv0035,37109,37329,20,+
39867,Primary.TSS,Rv0036c,39797,40017,21,-
41231,Primary.TSS,Rv0037c,41161,41381,22,-
41307,Primary.TSS,Rv0038,41157,41377,23,+
42840,Primary.TSS,Rv0039c,42770,42990,24,-
43410,Primary.TSS,Rv0040c,43340,43560,25,-
43562,Primary.TSS,Rv0041,43412,43632,26,+
47207,CDS,Rv0042c,47137,47357,27,-
48100,CDS,Rv0043c,48030,48250,28,-
49027,Primary.TSS,Rv0044c,48957,49177,29,-
50010,Primary.TSS,Rv0045c,49940,50160,29,-
51374,Primary.TSS,Rv0046c,51304,51524,30,-
51784,Primary.TSS,Rv0047c,51714,51934,31,-
52697,Primary.TSS,Rv0048c,52627,52847,32,-
52810,Primary.TSS,Rv0049,52660,52880,33,+
53663,CDS,Rv0050,53513,53733,34,+
55696,CDS,Rv0051,55546,55766,34,+
57410,CDS,Rv0052,57260,57480,34,+
58117,Primary.TSS,Rv0053,57967,58187,35,+
58586,CDS,Rv0054,58436,58656,36,+
59122,CDS,Rv0055,58972,59192,37,+
59409,CDS,Rv0056,59259,59479,37,+
59896,CDS,Rv0057,59746,59966,37,+
60286,Primary.TSS,Rv0058,60136,60356,37,+
63200,CDS,Rv0059,63050,63270,38,+
63872,Primary.TSS,Rv0060,63722,63942,38,+
65538,Primary.TSS,Rv0061c,65388,65608,39,+
65552,CDS,Rv0062,65402,65622,40,+
66923,CDS,Rv0063,67578,67798,41,+
68420,Primary.TSS,Rv0064,68270,68490,42,+
71821,CDS,Rv0065,71671,71891,43,+
